Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned,skills_skillner,skills_skillner_qe,skills_ner_bert,keybert_skills,rake_skills,yake_skills
Configuration management,3,Configuration management 3,"Applies tools, techniques and processes to track, log and correct information related to configuration items. _x000D_
Verifies and approves changes to protect assets and components from unauthorised change, diversion and inappropriate use. _x000D_
Supports user compliance with identification standards for object types, environments, processes, lifecycles, documentation, versions, formats, baselines, releases and templates. _x000D_
Performs audits to check the accuracy of the information and undertakes any necessary corrective action under direction.",applies tools techniques processes track log correct information related configuration items _xd_ verifies approves changes protect assets components unauthorised change diversion inappropriate use _xd_ supports user compliance identification standards object types environments processes lifecycles documentation versions formats baselines releases templates _xd_ performs audits check accuracy information undertakes necessary corrective action direction,"['track', 'corrective action', 'xd', 'performs audits', 'process lifecycle', 'tools', 'protect assets', 'configuration item', 'templates', 'tools processes']","['cartroad', 'path', 'get over', 'running', 'cover', 'racecourse', 'peter', 'caterpillar track', 'tag', 'tool', 'configuration item', 'templates', 'pass over', 'pecker', 'track', 'cut', 'template', 'guide', 'cross', 'lead', 'give chase', 'prick', 'templet', 'caterpillar tread', 'raceway', 'data track', 'get across', 'cock', 'traverse', 'rails', 'xd', 'chase', 'tail', 'tools processes', 'shaft', 'joyride', 'performs audits', 'cut through', 'putz', 'dog', 'course', 'trail', 'cut across', 'chase after', 'cart track', 'puppet', 'instrument', 'dick', 'tool around', 'corrective action', 'rail', 'creature', 'process lifecycle', 'tools', 'racetrack', 'protect assets', 'go after', 'runway']",['user compliance'],"['applies tools techniques', '_xd_ performs audits', 'compliance identification standards', 'processes lifecycles documentation', 'information related configuration']",['applies tools techniques processes track log correct information related configuration items _xd_ verifies approves changes protect assets components unauthorised change diversion inappropriate use _xd_ supports user compliance identification standards object types environments processes lifecycles documentation versions formats baselines releases templates _xd_ performs audits check accuracy information undertakes necessary corrective action direction'],"['applies tools techniques', 'related configuration items', 'supports user compliance', 'baselines releases templates', 'performs audits check', 'corrective action direction', 'track log correct', 'protect assets components', 'assets components unauthorised', 'user compliance identification', 'compliance identification standards', 'identification standards object', 'standards object types', 'object types environments', 'lifecycles documentation versions']"
Configuration management,4,Configuration management 4,"Proposes and agrees the configuration items (CIs) to be uniquely identified with naming conventions. _x000D_
Puts in place operational processes for secure configuration, classification and management of CIs and for verifying and auditing  configuration records. _x000D_
Develops, configures and maintains tools (including automation) to identify, track, log and maintain accurate, complete and current information. _x000D_
Reports on the status of configuration management. Identifies problems and issues and recommend corrective actions.",proposes agrees configuration items cis uniquely identified naming conventions _xd_ puts place operational processes secure configuration classification management cis verifying auditing configuration records _xd_ develops configures maintains tools including automation identify track log maintain accurate complete current information _xd_ reports status configuration management identifies problems issues recommend corrective actions,"['maintains', 'track', 'management', 'maintain', 'operational', 'automation', 'auditing configuration', 'tools', 'configuration management', 'corrective actions', 'naming convention', 'xd', 'configuration item']","['assert', 'usable', 'automation', 'racecourse', 'peter', 'corrective actions', 'pass over', 'keep up', 'pecker', 'track', 'keep', 'direction', 'useable', 'raceway', 'data track', 'cock', 'traverse', 'rails', 'xd', 'operational', 'chase', 'wield', 'mechanization', 'putz', 'dog', 'configuration management', 'cut across', 'chase after', 'operable', 'instrument', 'dick', 'mechanisation', 'observe', 'uphold', 'tool around', 'rail', 'racetrack', 'preserve', 'in operation', 'joyride', 'maintains', 'management', 'maintain', 'sustain', 'cartroad', 'path', 'get over', 'conserve', 'running', 'cover', 'caterpillar track', 'tag', 'tool', 'configuration item', 'operating', 'cut', 'defend', 'cross', 'lead', 'give chase', 'prick', 'caterpillar tread', 'get across', 'naming convention', 'functional', 'tail', 'shaft', 'cut through', 'exert', 'course', 'trail', 'puppet', 'cart track', 'hold', 'asseverate', 'creature', 'auditing configuration', 'tools', 'go after', 'runway']",['configuration management'],"['configuration management identifies', 'naming conventions _xd_', 'items cis', 'tools including automation', 'identifies problems issues']",['proposes agrees configuration items cis uniquely identified naming conventions _xd_ puts place operational processes secure configuration classification management cis verifying auditing configuration records _xd_ develops configures maintains tools including automation identify track log maintain accurate complete current information _xd_ reports status configuration management identifies problems issues recommend corrective actions'],"['puts place operational', 'identified naming conventions', 'complete current information', 'recommend corrective actions', 'develops configures maintains', 'uniquely identified naming', 'place operational processes', 'operational processes secure', 'tools including automation', 'including automation identify', 'automation identify track', 'identify track log', 'accurate complete current', 'identifies problems issues', 'problems issues recommend']"
Configuration management,5,Configuration management 5,"Plans the capture and management of CIs and related information. _x000D_
Agrees scope of configuration management processes and the configuration items (CIs) and related information to be controlled. _x000D_
Identifies, evaluates and manages the adoption of appropriate tools, techniques and processes (including automation) for configuration management. _x000D_
Contributes to the development of configuration management strategies, policies, standards and guidelines.",plans capture management cis related information _xd_ agrees scope configuration management processes configuration items cis related information controlled _xd_ identifies evaluates manages adoption appropriate tools techniques processes including automation configuration management _xd_ contributes development configuration management strategies policies standards guidelines,"['management', 'manages', 'management process', 'xd', 'automation', 'tools', 'adoption', 'tools processes', 'configuration management', 'configuration item', 'plans', 'information controlled']","['contrive', 'management', 'bring off', 'program', 'manage', 'automation', 'programme', 'pull off', 'carry off', 'get by', 'peter', 'tool', 'espousal', 'configuration item', 'pecker', 'information controlled', 'finagle', 'project', 'acceptance', 'borrowing', 'direction', 'negociate', 'handle', 'oversee', 'supervise', 'prick', 'do', 'cock', 'make do', 'cope', 'xd', 'tools processes', 'care', 'deal', 'shaft', 'be after', 'wield', 'make out', 'contend', 'superintend', 'mechanization', 'putz', 'acceptation', 'configuration management', 'puppet', 'manages', 'plans', 'instrument', 'wangle', 'dick', 'mechanisation', 'management process', 'tool around', 'creature', 'tools', 'design', 'grapple', 'adoption', 'plan', 'architectural plan', 'joyride']","['configuration management', 'management']","['configuration items cis', 'plans capture management', 'identifies evaluates manages', 'related information _xd_', 'processes including automation']",['plans capture management cis related information _xd_ agrees scope configuration management processes configuration items cis related information controlled _xd_ identifies evaluates manages adoption appropriate tools techniques processes including automation configuration management _xd_ contributes development configuration management strategies policies standards guidelines'],"['cis related information', 'related information controlled', 'identifies evaluates manages', 'policies standards guidelines', 'items cis related', 'plans capture management', 'agrees scope configuration', 'contributes development configuration', 'evaluates manages adoption', 'strategies policies standards', 'management cis related', 'tools techniques processes', 'techniques processes including', 'processes including automation', 'including automation configuration']"
Configuration management,6,Configuration management 6,"Develops configuration management strategies, policies, standards and guidelines. _x000D_
Champions the importance and value of configuration management and develops new methods and organisational capabilities (including automation) for configuration management. _x000D_
Provides resources to drive adoption of, and adherence to, policies and standards. _x000D_
Measures and monitors adherence to standards and ensures consistent execution of the process across the organisation.",develops configuration management strategies policies standards guidelines _xd_ champions importance value configuration management develops new methods organisational capabilities including automation configuration management _xd_ provides resources drive adoption adherence policies standards _xd_ measures monitors adherence standards ensures consistent execution process across organisation,"['execution process', 'automation', 'adoption', 'configuration management', 'xd', 'resources']","['execution process', 'acceptance', 'mechanisation', 'borrowing', 'resource', 'automation', 'mechanization', 'adoption', 'acceptation', 'espousal', 'configuration management', 'resourcefulness', 'xd', 'resources', 'imagination']",['configuration management'],"['configuration management develops', 'capabilities including automation', 'adherence policies standards', 'standards _xd_ measures', 'importance value configuration']",['develops configuration management strategies policies standards guidelines _xd_ champions importance value configuration management develops new methods organisational capabilities including automation configuration management _xd_ provides resources drive adoption adherence policies standards _xd_ measures monitors adherence standards ensures consistent execution process across organisation'],"['measures monitors adherence', 'methods organisational capabilities', 'organisational capabilities including', 'capabilities including automation', 'resources drive adoption', 'ensures consistent execution', 'consistent execution process', 'policies standards guidelines', 'including automation configuration', 'management strategies policies', 'configuration management strategies', 'automation configuration management', 'drive adoption adherence', 'standards ensures consistent', 'adoption adherence policies']"
Release management,2,Release management 2,"Assists with release management tasks under routine supervision._x000D_
Supports the collection of data and information for release planning and scheduling._x000D_
Assists in the preparation of release materials and resources. Helps document and maintain records of release activities._x000D_
Participates in basic testing and quality assurance tasks and issue resolution.",assists release management tasks routine supervision_xd_ supports collection data information release planning scheduling_xd_ assists preparation release materials resources helps document maintain records release activities_xd_ participates basic testing quality assurance tasks issue resolution,"['quality assurance', 'maintain', 'release management', 'planning', 'collection data', 'data', 'resources']","['contrive', 'quality assurance', 'maintain', 'assert', 'sustain', 'be after', 'resource', 'wield', 'release management', 'conserve', 'data point', 'planning', 'data', 'exert', 'resourcefulness', 'datum', 'resources', 'keep up', 'imagination', 'keep', 'hold', 'project', 'provision', 'defend', 'observe', 'uphold', 'preparation', 'design', 'preserve', 'collection data', 'information', 'plan', 'asseverate']","['quality assurance', 'release management']","['routine supervision_xd_ supports', 'release management tasks', 'resources helps document', 'assists preparation', 'collection data information']",['assists release management tasks routine supervision_xd_ supports collection data information release planning scheduling_xd_ assists preparation release materials resources helps document maintain records release activities_xd_ participates basic testing quality assurance tasks issue resolution'],"['supports collection data', 'participates basic testing', 'tasks routine supervision', 'tasks issue resolution', 'collection data information', 'document maintain records', 'basic testing quality', 'testing quality assurance', 'release planning scheduling', 'records release activities', 'management tasks routine', 'assurance tasks issue', 'quality assurance tasks', 'assists preparation release', 'assists release management']"
Release management,3,Release management 3,"Supports the planning and scheduling of releases._x000D_
Coordinates release activities with relevant teams. Follows defined release processes and procedures._x000D_
Participates in testing and quality assurance activities to ensure releases meet standards. Identifies and resolves issues related to the release process._x000D_
Documents and reports on release outcomes and communicates findings to stakeholders.",supports planning scheduling releases_xd_ coordinates release activities relevant teams follows defined release processes procedures_xd_ participates testing quality assurance activities ensure releases meet standards identifies resolves issues related release process_xd_ documents reports release outcomes communicates findings stakeholders,"['quality assurance', 'coordinates', 'planning', 'activities', 'communicates']","['contrive', 'quality assurance', 'be after', 'pass along', 'pass on', 'align', 'co-ordinate', 'ordinate', 'pass', 'activities', 'coordinates', 'planning', 'communicate', 'convey', 'commune', 'intercommunicate', 'project', 'provision', 'natural action', 'preparation', 'activeness', 'transmit', 'design', 'action', 'bodily process', 'activity', 'organise', 'bodily function', 'natural process', 'plan', 'coordinate', 'body process', 'organize', 'communicates', 'put across']",['quality assurance'],"['planning scheduling releases_xd_', 'procedures_xd_ participates testing', 'activities relevant teams', 'documents reports', 'standards identifies resolves']",['supports planning scheduling releases_xd_ coordinates release activities relevant teams follows defined release processes procedures_xd_ participates testing quality assurance activities ensure releases meet standards identifies resolves issues related release process_xd_ documents reports release outcomes communicates findings stakeholders'],"['supports planning scheduling', 'participates testing quality', 'communicates findings stakeholders', 'testing quality assurance', 'meet standards identifies', 'standards identifies resolves', 'identifies resolves issues', 'resolves issues related', 'outcomes communicates findings', 'activities relevant teams', 'quality assurance activities', 'assurance activities ensure', 'release processes procedures', 'related release process', 'documents reports release']"
Release management,4,Release management 4,"Plans and schedules releases in line with business requirements and objectives._x000D_
Coordinates release activities across multiple teams and stakeholders. Manages the release lifecycle, ensuring timely and quality deliverables._x000D_
Ensures releases meet defined quality, security and compliance standards._x000D_
Communicates release plans, progress and outcomes to stakeholders. Conducts post-release reviews and identifies areas for improvement.",plans schedules releases line business requirements objectives_xd_ coordinates release activities across multiple teams stakeholders manages release lifecycle ensuring timely quality deliverables_xd_ ensures releases meet defined quality security compliance standards_xd_ communicates release plans progress outcomes stakeholders conducts postrelease reviews identifies areas improvement,"['stakeholders manages', 'schedules', 'coordinates', 'business requirement', 'activities', 'manages release', 'plans', 'communicates']","['contrive', 'pass on', 'program', 'align', 'schedules', 'programme', 'ordinate', 'coordinates', 'business requirement', 'communicate', 'schedule', 'manages release', 'convey', 'project', 'transmit', 'action', 'bodily process', 'docket', 'organise', 'bodily function', 'coordinate', 'body process', 'organize', 'put across', 'be after', 'pass along', 'stakeholders manages', 'co-ordinate', 'activities', 'plans', 'commune', 'intercommunicate', 'natural action', 'activeness', 'design', 'activity', 'natural process', 'plan', 'pass', 'architectural plan', 'agenda', 'communicates']",['security compliance'],"['stakeholders manages release', 'requirements objectives_xd_', 'plans progress outcomes', 'conducts postrelease', 'activities multiple teams']",['plans schedules releases line business requirements objectives_xd_ coordinates release activities across multiple teams stakeholders manages release lifecycle ensuring timely quality deliverables_xd_ ensures releases meet defined quality security compliance standards_xd_ communicates release plans progress outcomes stakeholders conducts postrelease reviews identifies areas improvement'],"['business requirements objectives', 'security compliance standards', 'identifies areas improvement', 'timely quality deliverables', 'line business requirements', 'lifecycle ensuring timely', 'conducts postrelease reviews', 'postrelease reviews identifies', 'reviews identifies areas', 'multiple teams stakeholders', 'teams stakeholders manages', 'ensuring timely quality', 'meet defined quality', 'defined quality security', 'quality security compliance']"
Release management,5,Release management 5,"Develops and maintains release approaches, processes and automation tools._x000D_
Oversees the planning and scheduling of complex, large-scale releases. Coordinates release activities across multiple projects and programmes._x000D_
Ensures release processes and procedures are applied and that releases can be rolled back as needed. _x000D_
Communicates release approaches and outcomes. Conducts post-release analysis and drives continuous improvement.",develops maintains release approaches processes automation tools_xd_ oversees planning scheduling complex largescale releases coordinates release activities across multiple projects programmes_xd_ ensures release processes procedures applied releases rolled back needed _xd_ communicates release approaches outcomes conducts postrelease analysis drives continuous improvement,"['maintains', 'continuous improvement', 'coordinates', 'processes automation', 'planning', 'activities', 'xd', 'communicates']","['maintains', 'contrive', 'maintain', 'sustain', 'assert', 'pass on', 'align', 'ordinate', 'conserve', 'coordinates', 'planning', 'communicate', 'convey', 'keep up', 'keep', 'project', 'preparation', 'defend', 'transmit', 'action', 'bodily process', 'organise', 'communicates', 'bodily function', 'coordinate', 'xd', 'organize', 'body process', 'put across', 'continuous improvement', 'be after', 'pass along', 'wield', 'co-ordinate', 'processes automation', 'activities', 'exert', 'commune', 'intercommunicate', 'natural action', 'hold', 'provision', 'activeness', 'observe', 'uphold', 'design', 'preserve', 'activity', 'natural process', 'plan', 'pass', 'asseverate']",['analysis'],"['maintains release approaches', 'oversees planning scheduling', 'processes automation tools_xd_', 'outcomes conducts', 'projects programmes_xd_ ensures']",['develops maintains release approaches processes automation tools_xd_ oversees planning scheduling complex largescale releases coordinates release activities across multiple projects programmes_xd_ ensures release processes procedures applied releases rolled back needed _xd_ communicates release approaches outcomes conducts postrelease analysis drives continuous improvement'],"['oversees planning scheduling', 'multiple projects programmes', 'rolled back needed', 'drives continuous improvement', 'processes automation tools', 'approaches outcomes conducts', 'planning scheduling complex', 'scheduling complex largescale', 'outcomes conducts postrelease', 'conducts postrelease analysis', 'postrelease analysis drives', 'analysis drives continuous', 'approaches processes automation', 'processes procedures applied', 'communicates release approaches']"
Release management,6,Release management 6,"Defines organisational release management strategies, policies and standards._x000D_
Aligns release management with overall business strategies and objectives. Ensures the availability of resources and tools for effective release management._x000D_
Communicates release strategies and outcomes to stakeholders._x000D_
Drives the adoption of new release management techniques and technologies.",defines organisational release management strategies policies standards_xd_ aligns release management overall business strategies objectives ensures availability resources tools effective release management_xd_ communicates release strategies outcomes stakeholders_xd_ drives adoption new release management techniques technologies,"['business strategy', 'release management', 'tools', 'adoption', 'resources', 'communicates']","['joyride', 'pass along', 'business strategy', 'resource', 'pass on', 'release management', 'putz', 'peter', 'acceptation', 'tool', 'espousal', 'communicate', 'puppet', 'resourcefulness', 'convey', 'resources', 'pecker', 'imagination', 'instrument', 'intercommunicate', 'dick', 'acceptance', 'commune', 'tool around', 'borrowing', 'put across', 'creature', 'prick', 'transmit', 'tools', 'adoption', 'cock', 'pass', 'communicates', 'shaft']",['release management strategies'],"['defines organisational release', 'strategies policies standards_xd_', 'management techniques technologies', 'availability resources tools', 'stakeholders_xd_ drives']",['defines organisational release management strategies policies standards_xd_ aligns release management overall business strategies objectives ensures availability resources tools effective release management_xd_ communicates release strategies outcomes stakeholders_xd_ drives adoption new release management techniques technologies'],"['management techniques technologies', 'defines organisational release', 'objectives ensures availability', 'ensures availability resources', 'availability resources tools', 'resources tools effective', 'aligns release management', 'strategies policies standards', 'strategies outcomes stakeholders', 'tools effective release', 'release management techniques', 'organisational release management', 'effective release management', 'communicates release strategies', 'business strategies objectives']"
Deployment,2,Deployment 2,"Assists in deploying software releases and updates under routine supervision._x000D_
Executes defined deployment processes and procedures using deployment tools and techniques._x000D_
Monitors deployed applications and reports issues. Assists in rolling back deployments when necessary.",assists deploying software releases updates routine supervision_xd_ executes defined deployment processes procedures using deployment tools techniques_xd_ monitors deployed applications reports issues assists rolling back deployments necessary,"['executes', 'software', 'tools', 'rolling', 'deployed applications', 'applications reports', 'deploying software', 'software updates']","['carry through', 'software', 'execute', 'stray', 'peter', 'wind', 'pecker', 'wrap', 'roll', 'run', 'trilled', 'hustle', 'software system', 'cock', 'deploying software', 'roll out', 'software updates', 'seethe', 'software program', 'roam', 'putz', 'carry out', 'instrument', 'rove', 'dick', 'range', 'tool around', 'flap', 'tramp', 'roll up', 'joyride', 'swan', 'put to death', 'perform', 'vagabond', 'ramble', 'wave', 'tool', 'applications reports', 'pluck', 'twine', 'drift', 'accomplish', 'rolled', 'prick', 'action', 'wheel', 'do', 'fulfill', 'peal', 'rolling', 'wander', 'shaft', 'fulfil', 'deployed applications', 'computer software', 'software package', 'puppet', 'executes', 'wheeling', 'turn over', 'undulate', 'creature', 'tools', 'revolve', 'pealing', 'cast', 'package']",[],"['deployment tools techniques_xd_', 'monitors deployed applications', 'updates routine supervision_xd_', 'reports issues assists', 'releases']",['assists deploying software releases updates routine supervision_xd_ executes defined deployment processes procedures using deployment tools techniques_xd_ monitors deployed applications reports issues assists rolling back deployments necessary'],"['updates routine supervision', 'monitors deployed applications', 'deploying software releases', 'software releases updates', 'releases updates routine', 'deployed applications reports', 'applications reports issues', 'executes defined deployment', 'deployment tools techniques', 'assists deploying software', 'issues assists rolling', 'assists rolling back', 'reports issues assists', 'defined deployment processes', 'deployment processes procedures']"
Deployment,3,Deployment 3,"Deploys software releases and updates to production environments._x000D_
Uses deployment tools and techniques to ensure consistent deployments. Monitors and troubleshoots deployment processes._x000D_
Performs rollbacks of deployments in case of issues or failures._x000D_
Collaborates with release management and operations teams.",deploys software releases updates production environments_xd_ uses deployment tools techniques ensure consistent deployments monitors troubleshoots deployment processes_xd_ performs rollbacks deployments case issues failures_xd_ collaborates release management operations teams,"['deploys software', 'software', 'collaborates', 'release management', 'tools', 'case', 'operations', 'software updates']","['surgical process', 'deploys software', 'software', 'encase', 'release management', 'peter', 'pecker', 'lawsuit', 'eccentric', 'pillowcase', ""compositor's case"", 'slip', 'shell', 'software system', 'cock', 'fount', 'operations', 'software updates', 'font', 'character', 'display case', 'software program', 'putz', 'cognitive operation', 'vitrine', 'package', 'military operation', 'instrument', 'mathematical process', 'dick', 'tool around', ""typesetter's case"", 'procedure', 'performance', 'instance', 'functioning', 'showcase', 'incase', 'guinea pig', 'type', 'joyride', 'surgical operation', 'pillow slip', 'example', 'tool', 'trading operations', 'join forces', 'surgical procedure', 'mental process', 'prick', 'event', 'case', 'casing', 'mathematical operation', 'cause', 'shaft', 'causa', 'cognitive process', 'surgery', 'collaborate', 'computer software', 'software package', 'puppet', 'grammatical case', 'sheath', 'subject', 'get together', 'process', 'caseful', 'cooperate', 'collaborates', 'creature', 'tools', 'typeface', 'suit', 'face', 'operation']",['release management'],"['troubleshoots deployment processes_xd_', 'uses deployment tools', 'rollbacks deployments case', 'software releases', 'techniques ensure consistent']",['deploys software releases updates production environments_xd_ uses deployment tools techniques ensure consistent deployments monitors troubleshoots deployment processes_xd_ performs rollbacks deployments case issues failures_xd_ collaborates release management operations teams'],"['updates production environments', 'case issues failures', 'management operations teams', 'deploys software releases', 'collaborates release management', 'tools techniques ensure', 'techniques ensure consistent', 'troubleshoots deployment processes', 'performs rollbacks deployments', 'software releases updates', 'releases updates production', 'release management operations', 'deployment tools techniques', 'consistent deployments monitors', 'deployments monitors troubleshoots']"
Deployment,4,Deployment 4,"Plans and executes deployments of complex software releases and updates._x000D_
Manages continuous deployment using automation tools and techniques. Develops and maintains deployment processes, procedures and scripts._x000D_
Monitors and optimises deployment processes for efficiency and reliability. Ensures the availability, performance and security of deployed applications._x000D_
Collaborates with cross-functional teams.",plans executes deployments complex software releases updates_xd_ manages continuous deployment using automation tools techniques develops maintains deployment processes procedures scripts_xd_ monitors optimises deployment processes efficiency reliability ensures availability performance security deployed applications_xd_ collaborates crossfunctional teams,"['maintains', 'automation', 'collaborates', 'tools', 'plans executes', 'reliability', 'manages']","['maintains', 'maintain', 'sustain', 'assert', 'bring off', 'manage', 'automation', 'pull off', 'conserve', 'carry off', 'peter', 'get by', 'tool', 'keep up', 'pecker', 'finagle', 'keep', 'defend', 'join forces', 'negociate', 'handle', 'oversee', 'prick', 'supervise', 'plans executes', 'dependableness', 'do', 'cock', 'make do', 'cope', 'shaft', 'care', 'deal', 'joyride', 'wield', 'make out', 'mechanization', 'contend', 'superintend', 'reliability', 'collaborate', 'putz', 'exert', 'reliableness', 'puppet', 'manages', 'instrument', 'hold', 'dick', 'dependability', 'mechanisation', 'observe', 'uphold', 'get together', 'tool around', 'wangle', 'cooperate', 'collaborates', 'creature', 'tools', 'preserve', 'grapple', 'asseverate']","['performance security', 'reliability', 'continuous deployment']","['deployment processes procedures', 'tools techniques develops', 'updates_xd_ manages', 'plans executes', 'collaborates crossfunctional teams']",['plans executes deployments complex software releases updates_xd_ manages continuous deployment using automation tools techniques develops maintains deployment processes procedures scripts_xd_ monitors optimises deployment processes efficiency reliability ensures availability performance security deployed applications_xd_ collaborates crossfunctional teams'],"['collaborates crossfunctional teams', 'processes procedures scripts', 'software releases updates', 'security deployed applications', 'processes efficiency reliability', 'complex software releases', 'automation tools techniques', 'tools techniques develops', 'techniques develops maintains', 'efficiency reliability ensures', 'reliability ensures availability', 'ensures availability performance', 'availability performance security', 'performance security deployed', 'plans executes deployments']"
Deployment,5,Deployment 5,"Designs and implements deployment approaches, processes and automation tools for the organisation._x000D_
Oversees the deployment of critical and large-scale software. Ensures deployment processes align with organisational standards and recommended practices._x000D_
Continuously improves deployment processes and automation capabilities._x000D_
Defines monitoring and alert strategies for deployed applications.",designs implements deployment approaches processes automation tools organisation_xd_ oversees deployment critical largescale software ensures deployment processes align organisational standards recommended practices_xd_ continuously improves deployment processes automation capabilities_xd_ defines monitoring alert strategies deployed applications,"['processes automation', 'deployed applications']","['processes automation', 'deployed applications']",[],"['designs implements deployment', 'organisation_xd_ oversees deployment', 'processes automation capabilities_xd_', 'standards recommended practices_xd_', 'monitoring alert strategies']",['designs implements deployment approaches processes automation tools organisation_xd_ oversees deployment critical largescale software ensures deployment processes align organisational standards recommended practices_xd_ continuously improves deployment processes automation capabilities_xd_ defines monitoring alert strategies deployed applications'],"['defines monitoring alert', 'standards recommended practices', 'strategies deployed applications', 'automation tools organisation', 'processes automation capabilities', 'critical largescale software', 'largescale software ensures', 'align organisational standards', 'organisational standards recommended', 'monitoring alert strategies', 'alert strategies deployed', 'processes align organisational', 'approaches processes automation', 'processes automation tools', 'designs implements deployment']"
Deployment,6,Deployment 6,"Defines organisational deployment strategies, policies and standards._x000D_
Aligns deployment practices with overall operations and service delivery goals._x000D_
Ensures the availability of resources and tools for effective deployment._x000D_
Drives the adoption of new deployment techniques and technologies. Collaborates with senior stakeholders to ensure deployments meet business strategies and objectives.",defines organisational deployment strategies policies standards_xd_ aligns deployment practices overall operations service delivery goals_xd_ ensures availability resources tools effective deployment_xd_ drives adoption new deployment techniques technologies collaborates senior stakeholders ensure deployments meet business strategies objectives,"['business strategy', 'service delivery', 'collaborates', 'tools', 'adoption', 'operations', 'resources']","['surgical process', 'resource', 'espousal', 'peter', 'tool', 'resourcefulness', 'resources', 'pecker', 'trading operations', 'acceptance', 'join forces', 'borrowing', 'surgical procedure', 'mental process', 'prick', 'mathematical operation', 'cock', 'operations', 'shaft', 'business strategy', 'service delivery', 'surgical operation', 'cognitive process', 'surgery', 'collaborate', 'putz', 'acceptation', 'cognitive operation', 'puppet', 'military operation', 'mathematical process', 'instrument', 'imagination', 'dick', 'get together', 'tool around', 'process', 'procedure', 'cooperate', 'collaborates', 'creature', 'tools', 'performance', 'functioning', 'adoption', 'joyride', 'operation']",[],"['defines organisational deployment', 'strategies policies standards_xd_', 'standards_xd_ aligns deployment', 'availability resources tools', 'technologies collaborates senior']",['defines organisational deployment strategies policies standards_xd_ aligns deployment practices overall operations service delivery goals_xd_ ensures availability resources tools effective deployment_xd_ drives adoption new deployment techniques technologies collaborates senior stakeholders ensure deployments meet business strategies objectives'],"['service delivery goals', 'strategies policies standards', 'business strategies objectives', 'operations service delivery', 'availability resources tools', 'resources tools effective', 'techniques technologies collaborates', 'technologies collaborates senior', 'collaborates senior stakeholders', 'ensures availability resources', 'senior stakeholders ensure', 'meet business strategies', 'aligns deployment practices', 'defines organisational deployment', 'tools effective deployment']"
Storage management,2,Storage management 2,"Assists with storage management tasks such as provisioning._x000D_
Supports the setup and configuration of storage systems, incorporating standard security practices._x000D_
Helps monitor storage performance and capacity, and documents storage utilisation.",assists storage management tasks provisioning_xd_ supports setup configuration storage systems incorporating standard security practices_xd_ helps monitor storage performance capacity documents storage utilisation,"['standard security', 'storage system', 'storage management', 'storage']","['standard security', 'computer storage', 'repositing', 'reposition', 'entrepot', 'memory', 'store', 'storage', 'depot', 'warehousing', 'computer memory', 'storehouse', 'memory board', 'storage system', 'storage management']",[],"['assists storage management', 'setup configuration storage', 'security practices_xd_ helps', 'provisioning_xd_ supports setup', 'systems incorporating standard']",['assists storage management tasks provisioning_xd_ supports setup configuration storage systems incorporating standard security practices_xd_ helps monitor storage performance capacity documents storage utilisation'],"['management tasks provisioning', 'standard security practices', 'supports setup configuration', 'systems incorporating standard', 'incorporating standard security', 'performance capacity documents', 'assists storage management', 'documents storage utilisation', 'storage management tasks', 'setup configuration storage', 'configuration storage systems', 'storage systems incorporating', 'monitor storage performance', 'storage performance capacity', 'capacity documents storage']"
Storage management,3,Storage management 3,"Executes routine storage management tasks following established procedures and using standard tools._x000D_
Implements documented configurations for allocation of storage, installation and maintenance of secure storage systems using the agreed operational procedures._x000D_
Identifies operational problems, including security-related issues, and contributes to their resolution._x000D_
Uses standard management and reporting tools to collect and report on storage utilisation, performance and backup statistics.",executes routine storage management tasks following established procedures using standard tools_xd_ implements documented configurations allocation storage installation maintenance secure storage systems using agreed operational procedures_xd_ identifies operational problems including securityrelated issues contributes resolution_xd_ uses standard management reporting tools collect report storage utilisation performance backup statistics,"['executes', 'management', 'collect', 'statistics', 'storage', 'installation', 'reporting tool', 'operational', 'storage system', 'storage management']","['management', 'carry through', 'compile', 'repositing', 'put to death', 'perform', 'pull in', 'execute', 'entrepot', 'usable', 'installation', 'pull together', 'induction', 'facility', 'operating', 'storage system', 'instalment', 'accomplish', 'cod', 'reposition', 'collect', 'run', 'direction', 'memory', 'useable', 'accumulate', 'storage', 'action', 'do', 'pile up', 'garner', 'fulfill', 'functional', 'operational', 'store', 'call for', 'depot', 'fulfil', 'storehouse', 'memory board', 'statistic', 'initiation', 'storage management', 'carry out', 'hoard', 'executes', 'installment', 'computer storage', 'operable', 'take in', 'installing', 'pick up', 'statistics', 'gather up', 'warehousing', 'in operation', 'amass', 'reporting tool', 'roll up', 'gather', 'computer memory']",[],"['storage management tasks', 'procedures_xd_ identifies operational', 'standard tools_xd_', 'standard management reporting', 'documented configurations']",['executes routine storage management tasks following established procedures using standard tools_xd_ implements documented configurations allocation storage installation maintenance secure storage systems using agreed operational procedures_xd_ identifies operational problems including securityrelated issues contributes resolution_xd_ uses standard management reporting tools collect report storage utilisation performance backup statistics'],"['implements documented configurations', 'issues contributes resolution', 'performance backup statistics', 'identifies operational problems', 'documented configurations allocation', 'installation maintenance secure', 'problems including securityrelated', 'including securityrelated issues', 'securityrelated issues contributes', 'utilisation performance backup', 'executes routine storage', 'operational problems including', 'reporting tools collect', 'tools collect report', 'agreed operational procedures']"
