Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned
Organisation design and implementation,3,Organisation design and implementation 3,"Assists in designing team structures and workflows under guidance, following standard modelling techniques and tools._x000D_
Helps develop visual representations of organisational models to aid understanding. Assists in preparing and updating organisational charts, role descriptions and other documentation._x000D_
Supports evaluation of design options by gathering and analysing data. Participates in creating design views to address stakeholder concerns and perspectives.",assists designing team structures workflows guidance following standard modelling techniques tools_xd_ helps develop visual representations organisational models aid understanding assists preparing updating organisational charts role descriptions documentation_xd_ supports evaluation design options gathering analysing data participates creating design views address stakeholder concerns perspectives
Organisation design and implementation,4,Organisation design and implementation 4,"Designs team structures and workflows using modelling techniques, following agreed architectures, design standards and methodologies. _x000D_
Develops visual representations of organisational models and structures to facilitate understanding and decision-making. Supports the identification and evaluation of alternative design options and trade-offs._x000D_
Creates multiple design views to address the concerns of different stakeholders and to present different perspectives. Develops representations of team dynamics and workflows to aid stakeholder understanding and approval._x000D_
Reviews and refines designs to ensure they meet specifications.",designs team structures workflows using modelling techniques following agreed architectures design standards methodologies _xd_ develops visual representations organisational models structures facilitate understanding decisionmaking supports identification evaluation alternative design options tradeoffs_xd_ creates multiple design views address concerns different stakeholders present different perspectives develops representations team dynamics workflows aid stakeholder understanding approval_xd_ reviews refines designs ensure meet specifications
Organisation design and implementation,5,Organisation design and implementation 5,"Leads the design and implementation of organisational structures for significant teams, departments or divisions._x000D_
Conducts impact analyses on major design options and trade-offs to inform strategic decision-making._x000D_
Aligns existing organisational structures, roles, jobs and career paths to new processes and strategies. Ensures that the organisational design balances organisational performance and cultural requirements._x000D_
Reviews organisational designs and ensures that appropriate methods, tools and techniques are applied effectively. Contributes to development of organisational design policies, processes and standards.",leads design implementation organisational structures significant teams departments divisions_xd_ conducts impact analyses major design options tradeoffs inform strategic decisionmaking_xd_ aligns existing organisational structures roles jobs career paths new processes strategies ensures organisational design balances organisational performance cultural requirements_xd_ reviews organisational designs ensures appropriate methods tools techniques applied effectively contributes development organisational design policies processes standards
Organisation design and implementation,6,Organisation design and implementation 6,"Champions the value of new ways of working to address internal and external opportunities and threats. _x000D_
Sets direction and leads in selecting and using organisation design techniques, methodologies and tools. _x000D_
Plans and leads organisation design activities, identifies alternatives, assesses feasibility and recommends solutions. Identifies major changes affecting the organisation and mobilises resources to implement changes. _x000D_
Initiates the definition of new organisation boundaries and creates future organisation design. Outlines performance measurement objectives and the high-level implementation approach.",champions value new ways working address internal external opportunities threats _xd_ sets direction leads selecting using organisation design techniques methodologies tools _xd_ plans leads organisation design activities identifies alternatives assesses feasibility recommends solutions identifies major changes affecting organisation mobilises resources implement changes _xd_ initiates definition new organisation boundaries creates future organisation design outlines performance measurement objectives highlevel implementation approach
Organisation design and implementation,7,Organisation design and implementation 7,"Establishes and communicates the need and rationale for organisational structure and culture change. _x000D_
Secures organisational commitment and resources needed for organisational and culture change. _x000D_
Leads organisational change by removing obstacles, advocating and lobbying for change at the highest levels. _x000D_
Puts in place mechanisms to reinforce and embed organisational and culture change. Acts as a role model for desired behaviours and sets consistent standards and expectations.",establishes communicates need rationale organisational structure culture change _xd_ secures organisational commitment resources needed organisational culture change _xd_ leads organisational change removing obstacles advocating lobbying change highest levels _xd_ puts place mechanisms reinforce embed organisational culture change acts role model desired behaviours sets consistent standards expectations
Organisational change management,2,Organisational change management 2,"Assists with organisational change management tasks under routine supervision._x000D_
Supports the collection and analysis of data related to change readiness and impact._x000D_
Helps document and communicate change management plans and activities.",assists organisational change management tasks routine supervision_xd_ supports collection analysis data related change readiness impact_xd_ helps document communicate change management plans activities
Organisational change management,3,Organisational change management 3,"Follows standard techniques to investigate and analyse the size, nature and impact of changes to operational activities. _x000D_
Contributes to change management plans and actions, focusing on the procedural execution of change. _x000D_
Supports implementation and engages with stakeholders under direction.",follows standard techniques investigate analyse size nature impact changes operational activities _xd_ contributes change management plans actions focusing procedural execution change _xd_ supports implementation engages stakeholders direction
Organisational change management,4,Organisational change management 4,"Conducts readiness assessments to assess the size, nature and impact of organisational change. _x000D_
Defines tactics to use considering the challenges to be addressed. Provides guidance and makes suggestions to support individuals responsible for operational implementation of change management activities._x000D_
Gathers feedback to analyse the impact and effectiveness of the change management activities being deployed. Takes corrective action as required._x000D_
Develops and communicates tailored change management plans. Establishes and builds relationships with the project sponsors and key stakeholders.",conducts readiness assessments assess size nature impact organisational change _xd_ defines tactics use considering challenges addressed provides guidance makes suggestions support individuals responsible operational implementation change management activities_xd_ gathers feedback analyse impact effectiveness change management activities deployed takes corrective action required_xd_ develops communicates tailored change management plans establishes builds relationships project sponsors key stakeholders
Organisational change management,5,Organisational change management 5,"Develops the change management approach and a change management plan in collaboration with sponsors, users and project teams. _x000D_
Creates and implements action plans to ensure readiness for change before going live. Acquires change management resources and develops their capabilities to deliver the required changes._x000D_
Gathers feedback to allow timely improvements to the change management plan and approach. Assesses risks and takes preventative action. _x000D_
Develops and communicates tailored change management plans for senior stakeholder groups. Provides guidance to support change sponsors.",develops change management approach change management plan collaboration sponsors users project teams _xd_ creates implements action plans ensure readiness change going live acquires change management resources develops capabilities deliver required changes_xd_ gathers feedback allow timely improvements change management plan approach assesses risks takes preventative action _xd_ develops communicates tailored change management plans senior stakeholder groups provides guidance support change sponsors
Organisational change management,6,Organisational change management 6,"Defines and communicates the approach for change management for a significant part of the organisation. _x000D_
Initiates, plans and leads strategic, large and complex change management initiatives. Provides guidance to change leaders, emphasising the technical and procedural aspects of change._x000D_
Establishes feedback processes and leads analyses of change management successes.  _x000D_
Enables continual improvements to change management methodology, tools and training necessary to enhance the maturity across the organisation.",defines communicates approach change management significant part organisation _xd_ initiates plans leads strategic large complex change management initiatives provides guidance change leaders emphasising technical procedural aspects change_xd_ establishes feedback processes leads analyses change management successes _xd_ enables continual improvements change management methodology tools training necessary enhance maturity across organisation
Organisational change enablement,4,Organisational change enablement 4,"Supports teams in adopting new practices, providing ongoing resources and guidance. _x000D_
Facilitates a safe environment for exploring challenges related to change. _x000D_
Assists with engagement sessions to secure leadership commitment, focusing on the behavioural aspects of change._x000D_
Addresses issues that arise during implementation, ensuring minimal disruption.",supports teams adopting new practices providing ongoing resources guidance _xd_ facilitates safe environment exploring challenges related change _xd_ assists engagement sessions secure leadership commitment focusing behavioural aspects change_xd_ addresses issues arise implementation ensuring minimal disruption
Organisational change enablement,5,Organisational change enablement 5,"Develops and implements cultural change plans across teams, ensuring alignment with long-term success. _x000D_
Coordinates cross-functional teams to support the adoption of new behaviours. Communicates how changes align with business goals and long-term success, focusing on emotional and behavioural impacts. Supports leaders and employees in exploring challenges associated with adopting new practices. _x000D_
Enables employees to develop the necessary skills and behaviours for sustained change.",develops implements cultural change plans across teams ensuring alignment longterm success _xd_ coordinates crossfunctional teams support adoption new behaviours communicates changes align business goals longterm success focusing emotional behavioural impacts supports leaders employees exploring challenges associated adopting new practices _xd_ enables employees develop necessary skills behaviours sustained change
Organisational change enablement,6,Organisational change enablement 6,"Champions new ways of working that align with strategic opportunities. _x000D_
Influences and engages with senior executives to gain their support for change initiatives. _x000D_
Guides the development of strategies and roadmaps to drive long-term behavioural change.  Reviews progress, addresses challenges and ensures the sustainability of change initiatives._x000D_
Provides guidance to change leaders, focusing on the human aspects of organisational change.",champions new ways working align strategic opportunities _xd_ influences engages senior executives gain support change initiatives _xd_ guides development strategies roadmaps drive longterm behavioural change reviews progress addresses challenges ensures sustainability change initiatives_xd_ provides guidance change leaders focusing human aspects organisational change
Product management,2,Product management 2,"Assists with product management tasks under routine supervision. _x000D_
Helps create and curate content to support product usage._x000D_
Assists in monitoring results and feedback from product activities._x000D_
Supports problem resolution by collecting and reporting on feedback and usage data.",assists product management tasks routine supervision _xd_ helps create curate content support product usage_xd_ assists monitoring results feedback product activities_xd_ supports problem resolution collecting reporting feedback usage data
Product management,3,Product management 3,"Creates and curates various content to support the adoption and usage of products or services. _x000D_
Monitors results and feedback from product campaigns. _x000D_
Applies standard techniques and tools to carry out analysis and performance monitoring activities for specified products. _x000D_
Supports problem resolution, resolves issues and acts on feedback for products in use.",creates curates various content support adoption usage products services _xd_ monitors results feedback product campaigns _xd_ applies standard techniques tools carry analysis performance monitoring activities specified products _xd_ supports problem resolution resolves issues acts feedback products use
Product management,4,Product management 4,"Manages one or more lower-value products or services. _x000D_
Prioritises product requirements and develops product roadmaps. Owns the product backlog. Manages elements of the product lifecycle to meet customer/user needs and achieve financial or other targets. _x000D_
Uses insights from market and/or user research, feedback, expert opinion and usage data to understand needs and opportunities. _x000D_
Facilitates uptake of products by developing content, supporting and evaluating campaigns and monitoring product performance. Rolls out product trials and product launches.",manages one lowervalue products services _xd_ prioritises product requirements develops product roadmaps owns product backlog manages elements product lifecycle meet customeruser needs achieve financial targets _xd_ uses insights market andor user research feedback expert opinion usage data understand needs opportunities _xd_ facilitates uptake products developing content supporting evaluating campaigns monitoring product performance rolls product trials product launches
Product management,5,Product management 5,"Manages the full product lifecycle to meet customer/user needs and achieve targets. _x000D_
Selects and adapts appropriate product development methods, tools and techniques. _x000D_
Uses insights from market and/or user research, feedback and usage data to understand needs and opportunities. Develops product propositions and determines positioning and variants for different segments. Prioritises requirements and develops product roadmaps. _x000D_
Coordinates customer testing, product launches and supports communications and training. Adapts products based on changing customer/user needs and creates retirement and transition plans.",manages full product lifecycle meet customeruser needs achieve targets _xd_ selects adapts appropriate product development methods tools techniques _xd_ uses insights market andor user research feedback usage data understand needs opportunities develops product propositions determines positioning variants different segments prioritises requirements develops product roadmaps _xd_ coordinates customer testing product launches supports communications training adapts products based changing customeruser needs creates retirement transition plans
Product management,6,Product management 6,"Oversees the organisation’s product and services portfolio and the delivery of customer value and/or user satisfaction. _x000D_
Creates the product lifecycle management framework for internal and external customers and users. Champions the value of product management principles and appropriate product development models. _x000D_
Aligns the product management objectives with business objectives and authorises the selection and planning of all product management activities. _x000D_
Initiates the creation of new products and services. Identifies how developing new products or adapting existing products can create new opportunities.",oversees organisations product services portfolio delivery customer value andor user satisfaction _xd_ creates product lifecycle management framework internal external customers users champions value product management principles appropriate product development models _xd_ aligns product management objectives business objectives authorises selection planning product management activities _xd_ initiates creation new products services identifies developing new products adapting existing products create new opportunities
Systems development management,4,Systems development management 4,"Contributes to the planning and management of systems development work._x000D_
Adopts and applies appropriate systems development methods, tools and techniques in line with agreed standards. _x000D_
Engages with stakeholders to ensure systems development deliverables meet requirements and quality expectations. Manages risks and issues related to systems development activities, escalating as needed. _x000D_
Contributes to the continuous improvement of systems development processes and practices.",contributes planning management systems development work_xd_ adopts applies appropriate systems development methods tools techniques line agreed standards _xd_ engages stakeholders ensure systems development deliverables meet requirements quality expectations manages risks issues related systems development activities escalating needed _xd_ contributes continuous improvement systems development processes practices
Systems development management,5,Systems development management 5,"Plans and drives systems development work to deliver the organisation's objectives and plans. _x000D_
Selects, adopts and adapts appropriate systems development methods, tools and techniques. Ensures stakeholders are aware of required resources and that they are made available. Facilitates availability and optimum utilisation of resources. _x000D_
Monitors and reports on the progress of development projects. Ensures projects are carried out in accordance with agreed architectures, standards, methods and tools and addresses security and privacy requirements. _x000D_
Develops roadmaps to communicate future development activity.",plans drives systems development work deliver organisations objectives plans _xd_ selects adopts adapts appropriate systems development methods tools techniques ensures stakeholders aware required resources made available facilitates availability optimum utilisation resources _xd_ monitors reports progress development projects ensures projects carried accordance agreed architectures standards methods tools addresses security privacy requirements _xd_ develops roadmaps communicate future development activity
Systems development management,6,Systems development management 6,"Sets policy and drives adherence to standards for systems development. _x000D_
Leads activities to make security and privacy integral to systems development. _x000D_
Identifies and manages the resources necessary for all stages of systems development projects. _x000D_
Ensures technical, financial and quality targets are met.",sets policy drives adherence standards systems development _xd_ leads activities make security privacy integral systems development _xd_ identifies manages resources necessary stages systems development projects _xd_ ensures technical financial quality targets met
Systems development management,7,Systems development management 7,"Directs the definition, implementation and continual improvement of the organisation’s systems development management framework. _x000D_
Aligns systems development to business strategies and objectives and with emerging technology and digital opportunities. Maintains an overview of the contribution of systems development programmes to organisational success._x000D_
Authorises the structure of systems development functions and platforms. _x000D_
Sets strategy for resource management within systems development and authorises the allocation of resources for systems development programmes.",directs definition implementation continual improvement organisations systems development management framework _xd_ aligns systems development business strategies objectives emerging technology digital opportunities maintains overview contribution systems development programmes organisational success_xd_ authorises structure systems development functions platforms _xd_ sets strategy resource management within systems development authorises allocation resources systems development programmes
Systems and software lifecycle engineering,3,Systems and software lifecycle engineering 3,"Provides support for implementing systems and software lifecycle practices by applying established methods and procedures. _x000D_
Supports automation and continuous integration processes under direction. _x000D_
Monitors and reports on the effectiveness of lifecycle management activities. _x000D_
Contributes to the documentation and maintenance of lifecycle tools and practices.",provides support implementing systems software lifecycle practices applying established methods procedures _xd_ supports automation continuous integration processes direction _xd_ monitors reports effectiveness lifecycle management activities _xd_ contributes documentation maintenance lifecycle tools practices
Systems and software lifecycle engineering,4,Systems and software lifecycle engineering 4,"Elicits requirements for systems and software lifecycle working practices and automation._x000D_
Prepares design options for the working environment of methods, procedures, techniques, tools and people. _x000D_
Selects systems and software lifecycle working practices for software components and micro-services. _x000D_
Deploys automation to achieve well-engineered and secure outcomes.",elicits requirements systems software lifecycle working practices automation_xd_ prepares design options working environment methods procedures techniques tools people _xd_ selects systems software lifecycle working practices software components microservices _xd_ deploys automation achieve wellengineered secure outcomes
Systems and software lifecycle engineering,5,Systems and software lifecycle engineering 5,"Collaborates with those responsible for ongoing systems and software lifecycle management to select, adopt and adapt working practices._x000D_
Supports deployment of the working environment for systems and software lifecycle working practices._x000D_
Provides effective feedback to encourage development of the individuals and teams responsible for systems and software lifecycle working practices. Provides guidance and makes suggestions to support continual improvement and learning approach._x000D_
Contributes to identifying new domains within the organisation where systems and software lifecycle working practices can be deployed.",collaborates responsible ongoing systems software lifecycle management select adopt adapt working practices_xd_ supports deployment working environment systems software lifecycle working practices_xd_ provides effective feedback encourage development individuals teams responsible systems software lifecycle working practices provides guidance makes suggestions support continual improvement learning approach_xd_ contributes identifying new domains within organisation systems software lifecycle working practices deployed
Systems and software lifecycle engineering,6,Systems and software lifecycle engineering 6,"Obtains organisational commitment to strategies to deliver systems and software lifecycle working practices to achieve business objectives. _x000D_
Works with others to integrate organisational policies, standards and techniques across the full software and systems lifecycle. _x000D_
Develops and deploys the working environment supporting systems and software lifecycle practices for strategic, large and complex products and services. _x000D_
Leads activities to manage risks associated with systems and software lifecycle working practices. Plans and manages the evaluation or assessment of systems and software lifecycle working practices",obtains organisational commitment strategies deliver systems software lifecycle working practices achieve business objectives _xd_ works others integrate organisational policies standards techniques across full software systems lifecycle _xd_ develops deploys working environment supporting systems software lifecycle practices strategic large complex products services _xd_ leads activities manage risks associated systems software lifecycle working practices plans manages evaluation assessment systems software lifecycle working practices
Systems and software lifecycle engineering,7,Systems and software lifecycle engineering 7,"Represents and leads systems and software lifecycle working practices at the highest level in the organisation._x000D_
Identifies opportunities for innovation in systems and software lifecycle working practices to achieve organisational goals and objectives. _x000D_
Leads the essential cultural and environmental changes and communicates the benefits to all stakeholders. _x000D_
Oversees the quality of the work performed and delivers measurable business benefits.",represents leads systems software lifecycle working practices highest level organisation_xd_ identifies opportunities innovation systems software lifecycle working practices achieve organisational goals objectives _xd_ leads essential cultural environmental changes communicates benefits stakeholders _xd_ oversees quality work performed delivers measurable business benefits
Systems design,2,Systems design 2,"Assists in the creation and documentation of system design elements under routine supervision. _x000D_
Follows established procedures and guidelines. _x000D_
Helps create and maintain documentation.",assists creation documentation system design elements routine supervision _xd_ follows established procedures guidelines _xd_ helps create maintain documentation
Systems design,3,Systems design 3,"Follows standard approaches and established design patterns to create new designs for simple systems or system components._x000D_
Identifies and resolves minor design issues. _x000D_
Identifies alternative design options and seeks guidance when deviating from established design patterns.",follows standard approaches established design patterns create new designs simple systems system components_xd_ identifies resolves minor design issues _xd_ identifies alternative design options seeks guidance deviating established design patterns
Systems design,4,Systems design 4,"Designs system components using appropriate modelling techniques following agreed architectures, design standards, patterns and methodology. _x000D_
Identifies and evaluates alternative design options and trade-offs. Creates multiple design views to address the concerns of the different stakeholders and to handle functional and non-functional requirements. _x000D_
Models, simulates or prototypes the behaviour of proposed system components to enable approval by stakeholders. _x000D_
Produces detailed design specifications to form the basis for the construction of systems. Reviews, verifies and improves own designs against specifications.",designs system components using appropriate modelling techniques following agreed architectures design standards patterns methodology _xd_ identifies evaluates alternative design options tradeoffs creates multiple design views address concerns different stakeholders handle functional nonfunctional requirements _xd_ models simulates prototypes behaviour proposed system components enable approval stakeholders _xd_ produces detailed design specifications form basis construction systems reviews verifies improves designs specifications
Systems design,5,Systems design 5,"Designs large or complex systems and undertakes impact analysis on major design options and trade-offs. _x000D_
Ensures the system design balances functional and non-functional requirements. _x000D_
Reviews systems designs and ensures appropriate methods, tools and techniques are applied effectively. Makes recommendations and assesses and manages associated risks. _x000D_
Adopts and adapts system design methods, tools and techniques. Contributes to development of system design policies, standards and selection of architecture components.",designs large complex systems undertakes impact analysis major design options tradeoffs _xd_ ensures system design balances functional nonfunctional requirements _xd_ reviews systems designs ensures appropriate methods tools techniques applied effectively makes recommendations assesses manages associated risks _xd_ adopts adapts system design methods tools techniques contributes development system design policies standards selection architecture components
Systems design,6,Systems design 6,"Develops and drives adoption of and adherence to organisational policies, standards, guidelines and methods for system design. _x000D_
Champions the importance and value of system design principles and the selection of appropriate systems design lifecycle models. _x000D_
Leads system design activities for strategic, large and complex systems development programmes. Develops effective implementation strategies consistent with specified requirements, architectures and constraints of performance and feasibility. _x000D_
Develops system design requiring the introduction of new technologies or new uses for existing technologies.",develops drives adoption adherence organisational policies standards guidelines methods system design _xd_ champions importance value system design principles selection appropriate systems design lifecycle models _xd_ leads system design activities strategic large complex systems development programmes develops effective implementation strategies consistent specified requirements architectures constraints performance feasibility _xd_ develops system design requiring introduction new technologies new uses existing technologies
Software design,2,Software design 2,"Creates and documents detailed designs for simple software applications or components. _x000D_
Applies agreed modelling techniques, standards, patterns and tools. _x000D_
Contributes to the design of components of larger software systems, ensuring alignment with overall design requirements, including security._x000D_
Reviews own work.",creates documents detailed designs simple software applications components _xd_ applies agreed modelling techniques standards patterns tools _xd_ contributes design components larger software systems ensuring alignment overall design requirements including security_xd_ reviews work
Software design,3,Software design 3,"Undertakes complete design of moderately complex software applications or components._x000D_
Applies agreed standards, guidelines, patterns and tools. Assists as part of a team in the design of components of larger software systems. Specifies user and/or system interfaces. _x000D_
Creates multiple design views to address the different stakeholders' concerns and to handle functional and non-functional requirements, considering all relevant factors, including security. Assists in the evaluation of options and trade-offs. _x000D_
Collaborates in reviews of work with others as appropriate.",undertakes complete design moderately complex software applications components_xd_ applies agreed standards guidelines patterns tools assists part team design components larger software systems specifies user andor system interfaces _xd_ creates multiple design views address different stakeholders concerns handle functional nonfunctional requirements considering relevant factors including security assists evaluation options tradeoffs _xd_ collaborates reviews work others appropriate
Software design,4,Software design 4,"Designs and architects complex software applications, components and modules._x000D_
Uses appropriate modelling techniques in line with agreed software design standards, guidelines, patterns and methodologies. Produces and communicates multiple design views to address stakeholder concerns and meet both functional and non-functional requirements including security._x000D_
Identifies, evaluates and recommends design alternatives and trade-offs. Models, simulates or prototypes proposed software behaviours to secure stakeholder approval and facilitate effective software construction.  _x000D_
Reviews, verifies and enhances own designs against specifications and leads reviews of others' designs.",designs architects complex software applications components modules_xd_ uses appropriate modelling techniques line agreed software design standards guidelines patterns methodologies produces communicates multiple design views address stakeholder concerns meet functional nonfunctional requirements including security_xd_ identifies evaluates recommends design alternatives tradeoffs models simulates prototypes proposed software behaviours secure stakeholder approval facilitate effective software construction _xd_ reviews verifies enhances designs specifications leads reviews others designs
Software design,5,Software design 5,"Specifies, designs and architects large or complex software applications, components and modules. _x000D_
Adopts and adapts software design methods, tools and techniques. Undertakes impact analysis on major design options, makes recommendations and assesses and manages associated risks. Specifies prototypes/simulations to enable informed decision-making. _x000D_
Evaluates software designs to ensure adherence to standards and identifies corrective action. Ensures the software design balances functional, quality, security and systems management requirements. _x000D_
Contributes to the development of organisational software design and architecture policies and standards.",specifies designs architects large complex software applications components modules _xd_ adopts adapts software design methods tools techniques undertakes impact analysis major design options makes recommendations assesses manages associated risks specifies prototypessimulations enable informed decisionmaking _xd_ evaluates software designs ensure adherence standards identifies corrective action ensures software design balances functional quality security systems management requirements _xd_ contributes development organisational software design architecture policies standards
Software design,6,Software design 6,"Leads the selection and development of software design and architectural methods, tools and techniques. _x000D_
Defines and maintains architectural principles, patterns and frameworks to guide software design and development across the organisation._x000D_
Ensures adherence to technical strategies and systems architectures (including security).",leads selection development software design architectural methods tools techniques _xd_ defines maintains architectural principles patterns frameworks guide software design development across organisation_xd_ ensures adherence technical strategies systems architectures including security
Network design,2,Network design 2,"Assists with defining configurations for networks and network components under routine supervision. _x000D_
Follows established network architectures, standards, and security protocols._x000D_
Assists in documenting network configurations and producing detailed network specifications under guidance, incorporating relevant security aspects.",assists defining configurations networks network components routine supervision _xd_ follows established network architectures standards security protocols_xd_ assists documenting network configurations producing detailed network specifications guidance incorporating relevant security aspects
Network design,3,Network design 3,"Specifies the technical configurations and components required for a small network or a network segment in a more complex infrastructure._x000D_
Follows organisational architectures, standards, and security guidelines.",specifies technical configurations components required small network network segment complex infrastructure_xd_ follows organisational architectures standards security guidelines
Network design,4,Network design 4,"Designs specific network components using agreed architectures, design standards, patterns and methodology._x000D_
Translates logical designs into physical designs that meet specified operational parameters for capacity and performance._x000D_
Reviews and verifies network designs against non-functional requirements, including validation and error correction procedures, access, security and audit controls._x000D_
Contributes to the development of recovery routines and contingency procedures. Contributes to alternative network architectures, networking topologies and design options.",designs specific network components using agreed architectures design standards patterns methodology_xd_ translates logical designs physical designs meet specified operational parameters capacity performance_xd_ reviews verifies network designs nonfunctional requirements including validation error correction procedures access security audit controls_xd_ contributes development recovery routines contingency procedures contributes alternative network architectures networking topologies design options
Network design,5,Network design 5,"Produces, or approves network providers', network architectures, topologies and configuration databases for own area of responsibility._x000D_
Specifies design parameters for network connectivity, capacity, speed, interfacing, security and access, in line with business requirements._x000D_
Assesses network-related risks and specifies recovery routines and contingency procedures._x000D_
Creates multiple design views to address the different stakeholders' concerns and to handle both functional and non-functional requirements.",produces approves network providers network architectures topologies configuration databases area responsibility_xd_ specifies design parameters network connectivity capacity speed interfacing security access line business requirements_xd_ assesses networkrelated risks specifies recovery routines contingency procedures_xd_ creates multiple design views address different stakeholders concerns handle functional nonfunctional requirements
Network design,6,Network design 6,"Takes responsibility for major aspects of network specification, standards, technologies and overall network design models within the organisation._x000D_
Produces network design policies, principles and criteria covering connectivity, capacity, interfacing, security, resilience, recovery and access._x000D_
Develops and drives adoption of and adherence to organisational policies, standards, guidelines and methods for network design.",takes responsibility major aspects network specification standards technologies overall network design models within organisation_xd_ produces network design policies principles criteria covering connectivity capacity interfacing security resilience recovery access_xd_ develops drives adoption adherence organisational policies standards guidelines methods network design
Infrastructure design,2,Infrastructure design 2,"Assists in developing preliminary infrastructure design specifications under routine supervision. _x000D_
Uses established standards and security protocols to contribute to infrastructure design activities. _x000D_
Helps draft design documents and diagrams. Documents design-related issues.",assists developing preliminary infrastructure design specifications routine supervision _xd_ uses established standards security protocols contribute infrastructure design activities _xd_ helps draft design documents diagrams documents designrelated issues
Infrastructure design,3,Infrastructure design 3,"Performs varied infrastructure design tasks, including complex and non-routine assignments, using standard methods. _x000D_
Develops design specifications and diagrams for infrastructure components, integrating hardware, software, network elements, and cloud services, and addressing security requirements._x000D_
Collaborates with others to align infrastructure design with organisational objectives and resolve design issues. _x000D_
Suggests improvements to enhance infrastructure performance and reliability.",performs varied infrastructure design tasks including complex nonroutine assignments using standard methods _xd_ develops design specifications diagrams infrastructure components integrating hardware software network elements cloud services addressing security requirements_xd_ collaborates others align infrastructure design organisational objectives resolve design issues _xd_ suggests improvements enhance infrastructure performance reliability
Infrastructure design,4,Infrastructure design 4,"Leads the design of complex infrastructure systems to deliver comprehensive design solutions. _x000D_
Develops detailed architectural frameworks and ensures integration of all infrastructure components, including cloud services._x000D_
Provides guidance on recommended practices and design standards. Reviews and validates design specifications and documentation. _x000D_
Checks that designs are scalable, reliable and secure, aligning with business and technical requirements.",leads design complex infrastructure systems deliver comprehensive design solutions _xd_ develops detailed architectural frameworks ensures integration infrastructure components including cloud services_xd_ provides guidance recommended practices design standards reviews validates design specifications documentation _xd_ checks designs scalable reliable secure aligning business technical requirements
Infrastructure design,5,Infrastructure design 5,"Manages the design of infrastructure from analysis to execution and evaluation. _x000D_
Accountable for achieving design objectives and ensuring alignment with organisational goals and the effective integration of infrastructure components and systems. Provides authoritative guidance on design practices and methodologies._x000D_
Evaluates new technologies and their applicability to the organisation's needs. Develops and enforces design standards and recommended practices, ensuring consistent and high-quality design outcomes.",manages design infrastructure analysis execution evaluation _xd_ accountable achieving design objectives ensuring alignment organisational goals effective integration infrastructure components systems provides authoritative guidance design practices methodologies_xd_ evaluates new technologies applicability organisations needs develops enforces design standards recommended practices ensuring consistent highquality design outcomes
Infrastructure design,6,Infrastructure design 6,"Develops and drives adoption of and adherence to organisational policies, standards, guidelines and methods for infrastructure design._x000D_
Collaborates with senior stakeholders to align design projects with organisational objectives. _x000D_
Provides strategic oversight and guidance, ensuring infrastructure designs are forward-looking, scalable and secure. _x000D_
Accountable for the overall success of infrastructure design initiatives.",develops drives adoption adherence organisational policies standards guidelines methods infrastructure design_xd_ collaborates senior stakeholders align design projects organisational objectives _xd_ provides strategic oversight guidance ensuring infrastructure designs forwardlooking scalable secure _xd_ accountable overall success infrastructure design initiatives
Hardware design,2,Hardware design 2,"Assists in designing simple hardware components or subsystems under guidance._x000D_
Follows established design principles, patterns and methodologies as directed. Participates in translating logical designs into physical implementations._x000D_
Tests hardware components or subsystems against provided specifications and documents results. Contributes to the documentation of hardware designs using required standards, methods and tools._x000D_
Seeks guidance and support for deviations from standard practices or when facing unfamiliar scenarios.",assists designing simple hardware components subsystems guidance_xd_ follows established design principles patterns methodologies directed participates translating logical designs physical implementations_xd_ tests hardware components subsystems provided specifications documents results contributes documentation hardware designs using required standards methods tools_xd_ seeks guidance support deviations standard practices facing unfamiliar scenarios
