Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned,skills_skillner,skills_skillner_qe,skills_ner_bert,skills_skillner_keybert,skills_ner_bert_keybert,skills_skillner_qe_keybert,skills_skillner_rake,skills_skillner_yake,skills_ner_bert_rake,skills_ner_bert_yake,skills_skillner_count,skills_skillner_qe_count,skills_ner_bert_count,skills_skillner_keybert_count,skills_ner_bert_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count,skills_ner_bert_rake_count,skills_ner_bert_yake_count
Accessibility and inclusion,2,Accessibility and inclusion 2,"Assists with basic accessibility testing and gathering information for accessibility reviews. _x000D_
Supports team members in executing predefined accessibility tests. _x000D_
Documents test results and contributes to accessibility audit reports.",assists basic accessibility testing gathering information accessibility reviews _xd_ supports team members executing predefined accessibility tests _xd_ documents test results contributes accessibility audit reports,"['accessibility testing', 'audit reports', 'xd', 'accessibility', 'executing', 'gathering information', 'information accessibility']","['run', 'handiness', 'audit reports', 'xd', 'accessibility', 'death penalty', 'execution', 'do', 'gathering information', 'availability', 'availableness', 'approachability', 'action', 'fulfil', 'information accessibility', 'carry through', 'put to death', 'accessibility testing', 'carry out', 'execute', 'executing', 'fulfill', 'perform', 'accomplish', 'capital punishment']",['accessibility'],"['accessibility testing audit', 'reports xd accessibility', 'information information accessibility', 'accessibility executing gathering', 'audit reports xd']",['accessibility'],"['death accessibility testing', 'execution gathering information', 'audit reports xd', 'approachability action fulfil', 'carry execute executing']",['accessibility testing audit reports xd accessibility executing gathering information information accessibility'],"['testing audit reports', 'executing gathering information', 'accessibility testing audit', 'accessibility executing gathering', 'gathering information information', 'information information accessibility', 'testing audit', 'audit reports', 'executing gathering', 'gathering information', 'accessibility testing', 'accessibility executing', 'information information', 'information accessibility', 'accessibility']",['accessibility'],['accessibility'],7,25,1,5,1,5,1,15,1,1
Accessibility and inclusion,3,Accessibility and inclusion 3,"Analyses accessibility requirements and technical information. _x000D_
Designs and executes accessibility tests under direction. Reports findings in a structured way and makes initial recommendations for compliance. _x000D_
Supports accessibility reviews and audits._x000D_
Escalates complex issues to senior colleagues.",analyses accessibility requirements technical information _xd_ designs executes accessibility tests direction reports findings structured way makes initial recommendations compliance _xd_ supports accessibility reviews audits_xd_ escalates complex issues senior colleagues,"['technical information', 'xd', 'executes', 'accessibility']","['technical information', 'run', 'handiness', 'xd', 'accessibility', 'do', 'availableness', 'approachability', 'availability', 'action', 'fulfil', 'carry through', 'put to death', 'executes', 'carry out', 'execute', 'fulfill', 'perform', 'accomplish']",[],"['xd executes accessibility', 'executes accessibility', 'information xd executes', 'accessibility', 'technical information']",[],"['xd accessibility availableness', 'information run handiness', 'availability action fulfil', 'approachability', 'execute fulfill perform']",['technical information xd executes accessibility'],"['technical information', 'executes accessibility', 'information xd executes', 'technical', 'accessibility', 'information', 'executes']",[],[],4,19,0,5,0,5,1,7,0,0
Accessibility and inclusion,4,Accessibility and inclusion 4,"Engages with stakeholders to explain accessibility factors. Influences designs to improve accessibility. _x000D_
Provides detailed accessibility analysis to inform decisions throughout the product or service lifecycle._x000D_
Plans and manages accessibility testing to meet agreed standards. _x000D_
Evaluates compliance with accessibility regulations. Assesses risks based on test outcomes.",engages stakeholders explain accessibility factors influences designs improve accessibility _xd_ provides detailed accessibility analysis inform decisions throughout product service lifecycle_xd_ plans manages accessibility testing meet agreed standards _xd_ evaluates compliance accessibility regulations assesses risks based test outcomes,"['accessibility testing', 'engages stakeholders', 'manages', 'xd', 'plans', 'decisions', 'accessibility', 'risks based']","['handiness', 'grapple', 'engages stakeholders', 'xd', 'programme', 'wield', 'accessibility', 'decisiveness', 'do', 'availableness', 'approachability', 'availability', 'risks based', 'plan', 'bring off', 'superintend', 'decision', 'decisions', 'supervise', 'contrive', 'architectural plan', 'care', 'determination', 'pull off', 'manages', 'carry off', 'make do', 'handle', 'design', 'be after', 'oversee', 'finagle', 'get by', 'cope', 'program', 'accessibility testing', 'manage', 'wangle', 'plans', 'make out', 'conclusion', 'project', 'contend', 'negociate', 'deal']","['inform', 'analysis']","['accessibility testing engages', 'plans decisions accessibility', 'accessibility risks based', 'testing engages stakeholders', 'stakeholders manages xd']","['inform analysis', 'inform', 'analysis']","['cope program accessibility', 'grapple engages stakeholders', 'handle design', 'plan care determination', 'handiness']",['accessibility testing engages stakeholders manages xd plans decisions accessibility risks based'],"['accessibility risks based', 'testing engages stakeholders', 'engages stakeholders manages', 'accessibility testing engages', 'plans decisions accessibility', 'decisions accessibility risks', 'risks based', 'testing engages', 'engages stakeholders', 'stakeholders manages', 'manages xd plans', 'plans decisions', 'accessibility testing', 'decisions accessibility', 'accessibility risks']",['inform analysis'],"['inform analysis', 'inform', 'analysis']",8,45,2,5,3,5,1,15,1,3
Accessibility and inclusion,5,Accessibility and inclusion 5,"Leads accessibility governance and assurance activities. _x000D_
Interprets complex systems to identify opportunities for improved accessibility. Provides expert advice to drive accessibility compliance across products, services and projects. _x000D_
Defines organisational accessibility testing approaches, aligned with regulations and standards. _x000D_
Promotes awareness of accessibility and inclusion principles.",leads accessibility governance assurance activities _xd_ interprets complex systems identify opportunities improved accessibility provides expert advice drive accessibility compliance across products services projects _xd_ defines organisational accessibility testing approaches aligned regulations standards _xd_ promotes awareness accessibility inclusion principles,"['accessibility testing', 'xd', 'accessibility', 'activities', 'governance']","['handiness', 'organization', 'governing', 'xd', 'establishment', 'accessibility', 'government activity', 'administration', 'governing body', 'activeness', 'activity', 'availability', 'availableness', 'approachability', 'action', 'organisation', 'governance', 'body process', 'government', 'natural action', 'bodily process', 'brass', 'accessibility testing', 'bodily function', 'activities', 'natural process']",[],"['accessibility activities governance', 'accessibility activities', 'accessibility testing', 'xd accessibility', 'testing xd']",[],"['handiness organization governing', 'accessibility testing bodily', 'body process government', 'approachability action organisation', 'function activities natural']",['accessibility testing xd accessibility activities governance'],"['accessibility activities governance', 'activities governance', 'accessibility testing', 'accessibility activities', 'governance', 'testing xd accessibility', 'accessibility', 'testing', 'activities']",[],[],5,26,0,5,0,5,1,9,0,0
Accessibility and inclusion,6,Accessibility and inclusion 6,"Sets the organisation's strategic direction for accessibility and inclusion in products and services. _x000D_
Defines and oversees governance processes to ensure compliance. Leads the development of accessibility policies, standards and guidelines. _x000D_
Engages with industry bodies and experts to develop and implement good working practices._x000D_
Drives a culture of proactive accessibility consideration in design and development. Ensures adequate resources and skills for accessibility assurance.",sets organisations strategic direction accessibility inclusion products services _xd_ defines oversees governance processes ensure compliance leads development accessibility policies standards guidelines _xd_ engages industry bodies experts develop implement good working practices_xd_ drives culture proactive accessibility consideration design development ensures adequate resources skills accessibility assurance,"['proactive', 'xd', 'consideration design', 'industry', 'accessibility', 'governance', 'resources']","['handiness', 'organization', 'proactive', 'governing', 'xd', 'establishment', 'consideration design', 'industry', 'accessibility', 'government activity', 'administration', 'governing body', 'resourcefulness', 'availability', 'availableness', 'approachability', 'diligence', 'manufacture', 'organisation', 'governance', 'government', 'industriousness', 'brass', 'imagination', 'resource', 'resources']",['accessibility'],"['design industry accessibility', 'accessibility governance resources', 'governance resources', 'proactive xd consideration', 'consideration design']",['accessibility'],"['handiness organization proactive', 'industry accessibility government', 'diligence manufacture organisation', 'xd establishment consideration', 'resourcefulness availability availableness']",['proactive xd consideration design industry accessibility governance resources'],"['accessibility governance resources', 'consideration design industry', 'design industry accessibility', 'industry accessibility governance', 'proactive xd consideration', 'governance resources', 'consideration design', 'design industry', 'industry accessibility', 'accessibility governance', 'proactive', 'resources', 'consideration', 'design', 'industry']",['accessibility'],['accessibility'],7,26,1,5,1,5,1,15,1,1
User experience analysis,2,User experience analysis 2,"Assists with user experience analysis tasks under routine supervision._x000D_
Supports the collection and documentation of user requirements._x000D_
Helps organise and structure user experience data for analysis.",assists user experience analysis tasks routine supervision_xd_ supports collection documentation user requirements_xd_ helps organise structure user experience data analysis,"['user experience', 'assists user', 'data analysis', 'collection', 'analysis tasks']","['accumulation', 'user experience', 'assists user', 'aggregation', 'collecting', 'solicitation', 'appeal', 'assemblage', 'assembling', 'data analysis', 'collection', 'compendium', 'analysis tasks', 'ingathering']","['analysis', 'data']","['data analysis collection', 'experience assists user', 'user experience', 'user data', 'tasks']","['analysis data', 'analysis', 'data']","['accumulation user experience', 'analysis collection compendium', 'analysis tasks ingathering', 'aggregation collecting solicitation', 'appeal assemblage']",['user experience assists user data analysis collection analysis tasks'],"['collection analysis tasks', 'user experience assists', 'experience assists user', 'assists user data', 'data analysis collection', 'user data analysis', 'analysis collection analysis', 'analysis tasks', 'experience assists', 'user experience', 'assists user', 'user data', 'data analysis', 'analysis collection', 'collection analysis']",['analysis data'],"['analysis data', 'analysis', 'data']",5,14,2,5,3,5,1,15,1,3
User experience analysis,3,User experience analysis 3,"Applies standard techniques and tools for developing user stories and eliciting user experience requirements. _x000D_
Organises and structures user experience analysis. _x000D_
Works with stakeholders to prioritise requirements and resolve conflicts.",applies standard techniques tools developing user stories eliciting user experience requirements _xd_ organises structures user experience analysis _xd_ works stakeholders prioritise requirements resolve conflicts,"['xd', 'user story', 'user experience', 'tools']","['joyride', 'peter', 'xd', 'creature', 'cock', 'puppet', 'dick', 'putz', 'tool around', 'prick', 'user experience', 'user story', 'pecker', 'shaft', 'tool', 'tools', 'instrument']",[],"['xd user story', 'story user experience', 'user experience tools', 'experience', 'xd']",[],"['pecker shaft tool', 'xd creature cock', 'puppet dick putz', 'joyride peter xd', 'instrument']",['xd user story user experience tools'],"['user experience tools', 'story user experience', 'user story user', 'experience tools', 'user story', 'story user', 'user experience', 'tools', 'user', 'story', 'experience']",[],[],4,17,0,5,0,5,1,11,0,0
User experience analysis,4,User experience analysis 4,"Selects appropriate techniques and tools to develop user stories and elicit user experience requirements in complex situations. _x000D_
Identifies and describes the design goals for systems, products, services and devices. _x000D_
Identifies the roles of affected stakeholder groups. Resolves potential conflicts between differing user requirements. _x000D_
Specifies measurable criteria for the required usability and accessibility of systems, products, services and devices.",selects appropriate techniques tools develop user stories elicit user experience requirements complex situations _xd_ identifies describes design goals systems products services devices _xd_ identifies roles affected stakeholder groups resolves potential conflicts differing user requirements _xd_ specifies measurable criteria required usability accessibility systems products services devices,"['user experience', 'xd', 'user story', 'accessibility', 'systems services', 'user requirements', 'tools', 'usability']","['joyride', 'handiness', 'serviceability', 'serviceableness', 'peter', 'xd', 'creature', 'accessibility', 'systems services', 'cock', 'puppet', 'dick', 'usableness', 'putz', 'availability', 'availableness', 'approachability', 'usability', 'tool around', 'prick', 'user experience', 'user story', 'pecker', 'shaft', 'user requirements', 'tool', 'tools', 'instrument', 'useableness']",[],"['user story accessibility', 'accessibility systems services', 'requirements tools usability', 'services user requirements', 'experience xd']",[],"['handiness serviceability serviceableness', 'user requirements tool', 'xd creature accessibility', 'joyride', 'cock puppet dick']",['user experience xd user story accessibility systems services user requirements tools usability'],"['requirements tools usability', 'story accessibility systems', 'accessibility systems services', 'user story accessibility', 'systems services user', 'services user requirements', 'user requirements tools', 'tools usability', 'story accessibility', 'accessibility systems', 'systems services', 'requirements tools', 'user experience', 'user story', 'services user']",[],[],8,29,0,5,0,5,1,15,0,0
User experience analysis,5,User experience analysis 5,"Determines the approaches to be used for user experience analysis. _x000D_
Plans and manages user experience and accessibility analysis activities. _x000D_
Provides expert advice and guidance to support the adoption and adaptation of agreed approaches.  _x000D_
Develops user experience tools, techniques and standards as part of the organisation's framework for user-centred design",determines approaches used user experience analysis _xd_ plans manages user experience accessibility analysis activities _xd_ provides expert advice guidance support adoption adaptation agreed approaches _xd_ develops user experience tools techniques standards part organisations framework usercentred design,"['user experience', 'manages', 'xd', 'plans', 'adoption', 'accessibility', 'activities', 'adaptation', 'tools']","['handiness', 'grapple', 'xd', 'programme', 'adoption', 'accessibility', 'wield', 'espousal', 'do', 'creature', 'cock', 'puppet', 'putz', 'availableness', 'approachability', 'availability', 'action', 'bodily process', 'user experience', 'plan', 'bring off', 'superintend', 'pecker', 'shaft', 'supervise', 'adaption', 'borrowing', 'acceptance', 'tools', 'contrive', 'architectural plan', 'care', 'natural process', 'pull off', 'joyride', 'manages', 'peter', 'carry off', 'make do', 'version', 'handle', 'adaptation', 'design', 'be after', 'activeness', 'activity', 'oversee', 'dick', 'finagle', 'get by', 'tool around', 'body process', 'acceptation', 'natural action', 'prick', 'cope', 'program', 'bodily function', 'manage', 'wangle', 'plans', 'activities', 'make out', 'tool', 'adjustment', 'instrument', 'project', 'contend', 'negociate', 'deal']",[],"['plans adoption accessibility', 'accessibility activities', 'xd plans adoption', 'experience manages xd', 'activities adaptation tools']",[],"['handiness grapple xd', 'supervise adaption', 'xd programme adoption', 'tool body process', 'design activeness activity']",['user experience manages xd plans adoption accessibility activities adaptation tools'],"['user experience manages', 'activities adaptation tools', 'plans adoption accessibility', 'adoption accessibility activities', 'accessibility activities adaptation', 'user experience', 'adaptation tools', 'experience manages', 'manages xd plans', 'plans adoption', 'adoption accessibility', 'accessibility activities', 'activities adaptation', 'user', 'tools']",[],[],9,70,0,5,0,5,1,15,0,0
User experience design,2,User experience design 2,"Assists in creating user experience elements under routine supervision. _x000D_
Follows established procedures and guidelines. _x000D_
Helps create and maintain documentation.",assists creating user experience elements routine supervision _xd_ follows established procedures guidelines _xd_ helps create maintain documentation,"['maintain', 'xd', 'user experience', 'supervision']","['observe', 'maintain', 'xd', 'asseverate', 'exert', 'assert', 'wield', 'preserve', 'hold', 'conserve', 'uphold', 'user experience', 'superintendence', 'keep up', 'keep', 'sustain', 'oversight', 'supervising', 'supervision', 'defend']",[],"['user experience supervision', 'xd user experience', 'maintain xd user', 'maintain xd', 'supervision']",[],"['sustain oversight supervising', 'maintain xd asseverate', 'assert wield preserve', 'observe maintain', 'uphold user experience']",['maintain xd user experience supervision'],"['user experience supervision', 'maintain xd user', 'experience supervision', 'user experience', 'maintain', 'supervision', 'user', 'experience']",[],[],4,20,0,5,0,5,1,8,0,0
User experience design,3,User experience design 3,"Applies standard techniques and tools for designing user interactions with and experiences of selected system, product or service components. _x000D_
Reviews design goals and agreed security, usability and accessibility requirements. Creates design artefacts to communicate ideas. _x000D_
Contributes to overall user experience design as part of a team._x000D_
Assists in evaluating design options and trade-offs. Considers and applies visual design and branding guidelines consistently when appropriate.",applies standard techniques tools designing user interactions experiences selected system product service components _xd_ reviews design goals agreed security usability accessibility requirements creates design artefacts communicate ideas _xd_ contributes overall user experience design part team_xd_ assists evaluating design options tradeoffs considers applies visual design branding guidelines consistently appropriate,"['designing user', 'reviews design', 'user experience', 'branding', 'xd', 'accessibility', 'communicate', 'system service', 'service components', 'experience design', 'visual design', 'user experience design', 'tools designing', 'interactions', 'usability']","['trademark', 'handiness', 'put across', 'serviceability', 'brandmark', 'serviceableness', 'xd', 'commune', 'accessibility', 'experience design', 'availableness', 'approachability', 'availability', 'interactions', 'communicate', 'designing user', 'user experience', 'pass', 'fundamental interaction', 'transmit', 'user experience design', 'stigmatize', 'tools designing', 'stigmatise', 'brand', 'branding', 'reviews design', 'intercommunicate', 'convey', 'service components', 'stigmatisation', 'usableness', 'visual design', 'usability', 'mark', 'denounce', 'pass on', 'post', 'pass along', 'interaction', 'system service', 'useableness', 'stigmatization']","['##bility', 'user experience design']","['branding xd accessibility', 'experience design tools', 'reviews design user', 'designing interactions usability', 'communicate service service']","['bility user experience', 'user experience design', 'bility user', 'design', 'user']","['trademark handiness serviceability', 'usability mark', 'experience design stigmatize', 'xd commune accessibility', 'pass interaction service']",['designing user reviews design user experience branding xd accessibility communicate system service service components experience design visual design user experience design tools designing interactions usability'],"['design user experience', 'designing interactions usability', 'accessibility communicate system', 'user experience branding', 'communicate system service', 'tools designing interactions', 'designing user reviews', 'service components experience', 'reviews design user', 'visual design user', 'user reviews design', 'components experience design', 'experience design visual', 'experience design tools', 'service service components']",['## bility user experience design'],"['bility user experience', 'user experience design', 'bility user', 'experience design', 'user experience', 'bility', 'design', 'user', 'experience']",15,43,2,5,5,5,1,15,1,9
User experience design,4,User experience design 4,"Selects appropriate tools, methods and design patterns to design user interactions with and experiences of a product, system or service._x000D_
Translates concepts into outputs and prototypes for user feedback and evaluation._x000D_
Evaluates alternative design options and recommends designs taking into account performance, security, usability and accessibility requirements. _x000D_
Considers and integrates appropriate visual design and branding elements in user experience designs.",selects appropriate tools methods design patterns design user interactions experiences product system service_xd_ translates concepts outputs prototypes user feedback evaluation_xd_ evaluates alternative design options recommends designs taking account performance security usability accessibility requirements _xd_ considers integrates appropriate visual design branding elements user experience designs,"['xd', 'accessibility', 'account', 'experience design', 'interactions', 'user experience', 'prototypes', 'user experience design', 'user feedback', 'integrates', 'tools', 'branding', 'design design', 'visual design', 'design user', 'usability', 'translates', 'alternative', 'product system']","['handiness', 'serviceability', 'render', 'serviceableness', 'xd', 'cock', 'puppet', 'account', 'option', 'putz', 'availability', 'approachability', 'user experience', 'image', 'mix', 'alternate', 'integrate', 'pecker', 'prototypes', 'shaft', 'story', 'transform', 'invoice', 'user feedback', 'joyride', 'peter', 'report', 'dick', 'prototype', 'tool around', 'describe', 'translates', 'prick', 'accounting', 'interaction', 'translate', 'epitome', 'history', 'tool', 'alternative', 'instrument', 'calculate', 'product system', 'trademark', 'brandmark', 'bill', 'creature', 'accessibility', 'interpret', 'experience design', 'availableness', 'business relationship', 'interactions', 'desegregate', 'answer for', 'fundamental interaction', 'read', 'user experience design', 'tools', 'integrates', 'incorporate', 'stigmatize', 'stigmatise', 'choice', 'branding', 'score', 'brand', 'design design', 'explanation', 'stigmatisation', 'usableness', 'visual design', 'design user', 'substitute', 'usability', 'mark', 'write up', 'account statement', 'denounce', 'chronicle', 'paradigm', 'understand', 'post', 'news report', 'useableness', 'stigmatization']",[],"['experience prototypes user', 'xd accessibility account', 'feedback integrates tools', 'branding design design', 'usability translates alternative']",[],"['handiness serviceability', 'design tools integrates', 'incorporate stigmatize', 'joyride peter report', 'puppet account option']",['xd accessibility account experience design interactions user experience prototypes user experience design user feedback integrates tools branding design design visual design design user usability translates alternative product system'],"['alternative product system', 'feedback integrates tools', 'integrates tools branding', 'usability translates alternative', 'translates alternative product', 'accessibility account experience', 'user feedback integrates', 'user usability translates', 'interactions user experience', 'user experience prototypes', 'prototypes user experience', 'experience prototypes user', 'tools branding design', 'experience design interactions', 'account experience design']",[],[],19,86,0,5,0,5,1,15,0,0
User experience design,5,User experience design 5,"Plans and drives user experience design activities._x000D_
Provides expert advice and guidance to support the adoption of agreed approaches. Determines the approaches to be used to design user experiences. _x000D_
Uses iterative approaches to incorporate user feedback or evaluation rapidly into designs. _x000D_
Ensures appropriate consideration and integration of visual design and branding elements into user experience design.",plans drives user experience design activities_xd_ provides expert advice guidance support adoption agreed approaches determines approaches used design user experiences _xd_ uses iterative approaches incorporate user feedback evaluation rapidly designs _xd_ ensures appropriate consideration integration visual design branding elements user experience design,"['iterative', 'user experience', 'integration', 'plans', 'xd', 'adoption', 'experience design', 'visual design', 'user experience design', 'user feedback', 'branding']","['trademark', 'integration', 'brandmark', 'xd', 'programme', 'adoption', 'espousal', 'experience design', 'iterative', 'user experience', 'plan', 'integrating', 'desegregation', 'borrowing', 'acceptance', 'user experience design', 'user feedback', 'contrive', 'architectural plan', 'stigmatize', 'stigmatise', 'branding', 'brand', 'reiterative', 'design', 'stigmatisation', 'be after', 'visual design', 'consolidation', 'mark', 'acceptation', 'program', 'denounce', 'plans', 'post', 'iterative aspect', 'project', 'stigmatization']",['user experience'],"['experience design user', 'adoption experience design', 'feedback branding', 'plans xd adoption', 'iterative']","['user experience', 'experience', 'user']","['design stigmatisation', 'integration brandmark xd', 'branding brand reiterative', 'iterative user experience', 'programme adoption espousal']",['iterative user experience integration plans xd adoption experience design visual design user experience design user feedback branding'],"['user feedback branding', 'iterative user experience', 'experience integration plans', 'user experience integration', 'adoption experience design', 'experience design visual', 'design visual design', 'visual design user', 'design user feedback', 'design user experience', 'user experience design', 'experience design user', 'feedback branding', 'user experience', 'experience design']",['user experience'],"['user experience', 'user', 'experience']",11,38,1,5,3,5,1,15,1,3
User experience design,6,User experience design 6,"Obtains organisational commitment to strategies to deliver required user experience, usability, accessibility and security. _x000D_
Defines organisational policies, standards and techniques for user experience design. _x000D_
Plans and leads user experience design activities for strategic, large or complex programmes._x000D_
Promotes the value of user-centred design across the organisation.",obtains organisational commitment strategies deliver required user experience usability accessibility security _xd_ defines organisational policies standards techniques user experience design _xd_ plans leads user experience design activities strategic large complex programmes_xd_ promotes value usercentred design across organisation,"['user experience', 'organisational policy', 'xd', 'plans', 'accessibility', 'activities', 'experience design', 'user experience design', 'usability']","['handiness', 'serviceability', 'serviceableness', 'xd', 'programme', 'project', 'accessibility', 'design', 'experience design', 'be after', 'activeness', 'activity', 'availableness', 'approachability', 'availability', 'action', 'usableness', 'usability', 'body process', 'natural action', 'bodily process', 'program', 'user experience', 'plan', 'bodily function', 'organisational policy', 'plans', 'activities', 'user experience design', 'contrive', 'architectural plan', 'useableness', 'natural process']",['user experience design'],"['accessibility activities experience', 'xd plans accessibility', 'experience design user', 'experience organisational policy', 'policy xd plans']","['user experience design', 'experience design', 'user experience', 'design', 'experience']","['handiness serviceability serviceableness', 'design activeness activity', 'programme project accessibility', 'experience plan', 'bodily process program']",['user experience organisational policy xd plans accessibility activities experience design user experience design usability'],"['experience design usability', 'plans accessibility activities', 'experience organisational policy', 'accessibility activities experience', 'user experience organisational', 'activities experience design', 'design user experience', 'experience design user', 'user experience design', 'user experience', 'experience design', 'design usability', 'organisational policy', 'policy xd plans', 'plans accessibility']",['user experience design'],"['user experience design', 'user experience', 'experience design', 'user', 'design', 'experience']",9,33,1,5,5,5,1,15,1,6
User experience evaluation,2,User experience evaluation 2,"Assists in preparing and operating the environment, facilities and tools needed to evaluate systems, products, services or devices. _x000D_
Assists in the collection of feedback on prototypes and designs from users and others.",assists preparing operating environment facilities tools needed evaluate systems products services devices _xd_ assists collection feedback prototypes designs users others,"['xd', 'operating', 'prototypes', 'systems services', 'collection', 'tools', 'designs users']","['run', 'manoeuvre', 'operational', 'xd', 'go', 'creature', 'systems services', 'solicitation', 'appeal', 'cock', 'puppet', 'putz', 'manoeuver', 'designs users', 'accumulation', 'image', 'operate', 'aggregation', 'operating', 'pecker', 'prototypes', 'shaft', 'maneuver', 'tools', 'compendium', 'assemblage', 'ingathering', 'control', 'joyride', 'peter', 'engage', 'in operation', 'collecting', 'function', 'dick', 'collection', 'prototype', 'tool around', 'prick', 'operate on', 'mesh', 'paradigm', 'epitome', 'assembling', 'tool', 'instrument', 'work', 'lock']",[],"['xd operating prototypes', 'prototypes systems services', 'tools designs users', 'systems services collection', 'collection tools']",[],"['manoeuvre operational xd', 'creature systems services', 'maneuver tools compendium', 'pecker prototypes shaft', 'puppet putz']",['xd operating prototypes systems services collection tools designs users'],"['tools designs users', 'operating prototypes systems', 'prototypes systems services', 'systems services collection', 'services collection tools', 'collection tools designs', 'designs users', 'operating prototypes', 'prototypes systems', 'systems services', 'services collection', 'collection tools', 'tools designs', 'users', 'operating']",[],[],7,48,0,5,0,5,1,15,0,0
User experience evaluation,3,User experience evaluation 3,"Evaluates design options and prototypes to obtain user feedback on requirements of developing systems, products, services or devices._x000D_
Tests the usability and accessibility of components and alternative designs. Administers a range of evaluations, recording data and feedback. Analyses evaluation data and recommends actions. Identifies areas for future user research._x000D_
Checks systems, products, services or devices for adherence to applicable standards, guidelines, style guides and legislation. _x000D_
Evaluates the usability of existing or competitor systems to provide benchmark values and as input to design.",evaluates design options prototypes obtain user feedback requirements developing systems products services devices_xd_ tests usability accessibility components alternative designs administers range evaluations recording data feedback analyses evaluation data recommends actions identifies areas future user research_xd_ checks systems products services devices adherence applicable standards guidelines style guides legislation _xd_ evaluates usability existing competitor systems provide benchmark values input design,"['style guide', 'tests usability', 'xd', 'prototypes', 'systems services', 'accessibility', 'recording data', 'legislation', 'alternative', 'user feedback', 'benchmark', 'usability', 'developing systems']","['handiness', 'serviceability', 'serviceableness', 'xd', 'legislating', 'accessibility', 'systems services', 'option', 'prototype', 'usableness', 'availableness', 'approachability', 'availability', 'bench mark', 'substitute', 'usability', 'developing systems', 'style guide', 'image', 'alternate', 'paradigm', 'tests usability', 'statute law', 'prototypes', 'lawmaking', 'recording data', 'epitome', 'legislation', 'alternative', 'user feedback', 'benchmark', 'choice', 'useableness']",[],"['usability xd prototypes', 'usability developing systems', 'systems services accessibility', 'style guide tests', 'user feedback benchmark']",[],"['handiness serviceability serviceableness', 'prototype usableness availableness', 'legislating accessibility systems', 'tests usability', 'prototypes lawmaking']",['style guide tests usability xd prototypes systems services accessibility recording data legislation alternative user feedback benchmark usability developing systems'],"['style guide tests', 'services accessibility recording', 'accessibility recording data', 'recording data legislation', 'data legislation alternative', 'legislation alternative user', 'alternative user feedback', 'user feedback benchmark', 'guide tests usability', 'prototypes systems services', 'systems services accessibility', 'feedback benchmark usability', 'benchmark usability developing', 'usability developing systems', 'style guide']",[],[],13,33,0,5,0,5,1,15,0,0
User experience evaluation,4,User experience evaluation 4,"Selects appropriate tools and techniques to evaluate user experiences of systems, products,  services or devices._x000D_
Validates that security, usability and accessibility requirements have been met. _x000D_
Checks operational systems, products, services or devices for changes in usability and accessibility needs. _x000D_
Interprets and presents results of evaluations, prioritises issues and reports on remedial actions. Collates input for future user research.",selects appropriate tools techniques evaluate user experiences systems products services devices_xd_ validates security usability accessibility requirements met _xd_ checks operational systems products services devices changes usability accessibility needs _xd_ interprets presents results evaluations prioritises issues reports remedial actions collates input future user research,"['user experience', 'presents', 'xd', 'accessibility', 'systems services', 'validates', 'operational system', 'tools', 'remedial action', 'usability', 'user research']","['handiness', 'serviceability', 'serviceableness', 'xd', 'creature', 'accessibility', 'systems services', 'deliver', 'cock', 'puppet', 'nowadays', 'putz', 'corroborate', 'availableness', 'approachability', 'face', 'availability', 'present tense', 'lay out', 'user experience', 'exhibit', 'pecker', 'demo', 'shaft', 'stage', 'operational system', 'show', 'tools', 'validate', 'pose', 'joyride', 'formalise', 'confront', 'presents', 'acquaint', 'salute', 'peter', 'gift', 'validates', 'dick', 'usableness', 'portray', 'give', 'introduce', 'remedial action', 'usability', 'present', 'tool around', 'demonstrate', 'prick', 'submit', 'formalize', 'award', 'tool', 'instrument', 'useableness', 'represent', 'user research']","['##bility', 'accessibility']","['xd accessibility systems', 'remedial action usability', 'usability user research', 'user experience presents', 'systems services validates']","['bility accessibility', 'accessibility', 'bility']","['handiness serviceability serviceableness', 'validates dick usableness', 'xd creature accessibility', 'present tool demonstrate', 'deliver cock puppet']",['user experience presents xd accessibility systems services validates operational system tools remedial action usability user research'],"['usability user research', 'services validates operational', 'tools remedial action', 'remedial action usability', 'user experience presents', 'accessibility systems services', 'systems services validates', 'validates operational system', 'operational system tools', 'system tools remedial', 'action usability user', 'user research', 'experience presents', 'presents xd accessibility', 'services validates']",['## bility accessibility'],"['bility accessibility', 'bility', 'accessibility']",11,58,2,5,3,5,1,15,1,3
